# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-F" "GFF" "-t" "gene" "-g" "locus_tag" "-a" "reference/styphimurium.gff" "-o" "feature_counts/all_samples_counts.txt" "alignment_bam/acidic_sorted.bam" "alignment_bam/oxidative_sorted.bam" "alignment_bam/starvation_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment_bam/acidic_sorted.bam	alignment_bam/oxidative_sorted.bam	alignment_bam/starvation_sorted.bam
STM1161	NC_003197.2	1247641	1247907	-	267	13318	18525	38381
STM1162	NC_003197.2	1248185	1248442	-	258	4808	2012	267
STM1163	NC_003197.2	1248504	1249628	-	1125	807	531	84
STM1164	NC_003197.2	1249655	1250225	-	571	6120	1924	1981
STM1165	NC_003197.2	1250340	1250997	-	658	8194	6615	3722
STM1166	NC_003197.2	1251051	1252267	-	1217	817	277	98
STM1167	NC_003197.2	1252476	1253080	+	605	2081	1042	2539
STM1168	NC_003197.2	1253097	1253763	+	667	1130	4193	2876
STM1169	NC_003197.2	1253752	1254688	+	937	902	976	431
STM1170	NC_003197.2	1254942	1256527	+	1586	5783	772	394
STM1171	NC_003197.2	1256609	1257031	-	423	36211	7197	17030
STM1172	NC_003197.2	1257036	1257341	-	306	12311	5418	17390
STM1173	NC_003197.2	1257421	1258094	-	674	15980	2616	208
STM1174	NC_003197.2	1258229	1258653	+	425	15182	5105	299
STM1175	NC_003197.2	1258643	1259061	+	419	1714	746	38
STM1176	NC_003197.2	1259061	1259771	+	711	3258	3663	146
STM1177	NC_003197.2	1259786	1261009	+	1224	2227	5992	99
STM1178	NC_003197.2	1261017	1261785	+	769	2908	3893	212
STM1179	NC_003197.2	1261788	1262581	+	794	2708	2944	143
STM1180	NC_003197.2	1262630	1263334	+	705	1283	1645	45
STM1181	NC_003197.2	1263337	1264443	+	1107	2574	2129	137
STM1182	NC_003197.2	1264429	1265393	+	965	2033	1547	77
STM1183	NC_003197.2	1265447	1267119	+	1673	12869	13029	5724
STM1184	NC_003197.2	1267119	1268087	+	969	14119	16321	5508
STM1185	NC_003197.2	1268344	1271547	-	3204	26074	19268	1653
STM1187	NC_003197.2	1272121	1273080	+	960	6937	751	98
STM1188	NC_003197.2	1273236	1273979	+	744	631	165	115
STM1189	NC_003197.2	1274481	1275077	-	597	2544	1836	790
STM1190	NC_003197.2	1275222	1275784	+	563	76072	7389	322
STM1191	NC_003197.2	1275822	1276009	+	188	119177	54655	1124
STM1192	NC_003197.2	1276126	1277222	+	1097	82690	21235	562
STM1193	NC_003197.2	1277302	1278255	+	954	4240	1235	211
STM1194	NC_003197.2	1278259	1279200	+	942	8652	3662	666
STM1195	NC_003197.2	1279203	1279947	+	745	58968	8471	2302
STM1196	NC_003197.2	1280087	1280339	+	253	765696	131740	57589
STM1197	NC_003197.2	1280412	1281666	+	1255	55226	14221	1912
STM1198	NC_003197.2	1281779	1282599	+	821	1474	425	239
STM1199	NC_003197.2	1282602	1283624	+	1023	1218	348	222
STM1200	NC_003197.2	1283604	1284255	+	652	1824	689	251
STM1201	NC_003197.2	1284238	1285256	+	1019	1910	1140	253
STM1202	NC_003197.2	1285257	1286064	+	808	3105	1195	2926
STM1203	NC_003197.2	1286342	1287792	+	1451	15355	32679	3012
STM1204	NC_003197.2	1287877	1290063	-	2187	551	6560	196
STM1205	NC_003197.2	1290381	1290752	+	372	2879	1033	1061
STM1206	NC_003197.2	1290742	1291129	+	388	2221	400	223
STM1207	NC_003197.2	1291128	1291781	+	654	1187	769	234
STM1208	NC_003197.2	1291753	1292586	+	834	1004	759	191
STM1209	NC_003197.2	1292585	1293622	+	1038	1168	1068	455
STM1210	NC_003197.2	1293636	1294189	+	554	3129	2898	1251
STM1211	NC_003197.2	1294327	1295748	+	1422	3464	4697	489
STM1212	NC_003197.2	1295913	1296466	+	554	715	209	237
STM1213	NC_003197.2	1296541	1297192	-	652	4048	1488	890
STM1214	NC_003197.2	1297406	1297675	+	270	8939	4280	392
STM1215	NC_003197.2	1297772	1298751	-	980	1115	153	195
STM1216	NC_003197.2	1298885	1302349	-	3465	5010	3042	1315
STM1217	NC_003197.2	1302558	1303868	+	1311	4125	1033	69
STM1218	NC_003197.2	1303848	1304562	+	715	1417	836	35
STM1219	NC_003197.2	1304548	1305806	+	1259	3219	1544	204
STM1220	NC_003197.2	1305824	1306746	+	923	1807	1551	230
STM1221	NC_003197.2	1306756	1307586	+	831	5838	2961	367
STM1222	NC_003197.2	1307668	1308727	-	1060	5028	1914	128
STM1223	NC_003197.2	1308739	1309532	-	794	4361	418	116
STM1224	NC_003197.2	1309834	1310844	-	1011	1976	304	301
STM1225	NC_003197.2	1311173	1312052	-	880	7338	431	84
STM1226	NC_003197.2	1312020	1313156	-	1137	16254	1032	126
STM1227	NC_003197.2	1313395	1314636	+	1242	369	394	305
STM1228	NC_003197.2	1314636	1315974	+	1339	1612	243	467
STM1229	NC_003197.2	1316014	1317148	-	1135	5503	2456	851
STM1230	NC_003197.2	1317216	1318679	-	1464	14201	4783	639
STM1231	NC_003197.2	1318679	1319365	-	687	18424	6613	1694
STM1232	NC_003197.2	1319477	1320862	-	1386	5579	2251	267
STM1233	NC_003197.2	1320851	1321550	-	700	1954	444	120
STM1234	NC_003197.2	1321579	1322739	-	1161	9102	1466	195
STM1235	NC_003197.2	1322739	1323210	-	472	397	259	32
STM1236	NC_003197.2	1323212	1323549	-	338	319	237	131
STM1237	NC_003197.2	1323538	1324203	-	666	2045	236	328
STM1238	NC_003197.2	1324219	1325625	+	1407	33048	9920	28105
STM1239	NC_003197.2	1326065	1327197	+	1133	3943	453	530
STM1240	NC_003197.2	1328179	1328972	-	794	688	26	71
STM1241	NC_003197.2	1329456	1329702	-	247	13435	1434	817
STM1242	NC_003197.2	1329886	1330411	-	526	7819	787	212
STM1243	NC_003197.2	1330822	1331045	-	224	1697	40	9
STM1244	NC_003197.2	1331166	1331437	-	272	94	80	62
STM1246	NC_003197.2	1332234	1332798	+	565	10702	8080	4101
STM1247	NC_003197.2	1333199	1333272	+	74	903	14	46
STM1249	NC_003197.2	1334035	1334385	-	351	18396	10574	7203
STM1250	NC_003197.2	1335077	1335354	+	278	564	29006	829
STM1251	NC_003197.2	1335498	1335973	+	476	8502	35279	10133
STM1252	NC_003197.2	1336306	1337355	+	1050	1175	231	238
STM1253	NC_003197.2	1337438	1337981	-	544	1731	342	184
STM1254	NC_003197.2	1338117	1338436	-	320	2137	1682	398
STM1255	NC_003197.2	1339105	1340747	+	1643	903	249	121
STM1256	NC_003197.2	1340741	1341721	+	981	86	38	2
STM1257	NC_003197.2	1341704	1342523	+	820	557	62	12
STM1258	NC_003197.2	1342510	1343314	+	805	56	23	38
STM1259	NC_003197.2	1343301	1343898	+	598	411	91	41
STM1260	NC_003197.2	1343980	1345119	-	1140	1705	346	334
STM1261	NC_003197.2	1345300	1345633	+	334	957	412	546
STM1262	NC_003197.2	1345637	1345710	+	74	41	0	0
STM1263	NC_003197.2	1345815	1346477	+	663	2052	576	63
STM1264	NC_003197.2	1346579	1347374	+	796	1689	290	632
STM1265	NC_003197.2	1347512	1348112	+	601	136	16	33
STM1266	NC_003197.2	1348176	1349029	+	854	4325	799	392
STM1267	NC_003197.2	1349284	1349542	-	259	2749	751	246
STM1268	NC_003197.2	1349611	1349764	-	154	7	0	13
STM1269	NC_003197.2	1349836	1350388	+	553	4545	327	117
STM1270	NC_003197.2	1350570	1351223	+	654	6414	1526	277
STM1271	NC_003197.2	1351385	1351758	+	374	356	110	24
STM1272	NC_003197.2	1351745	1351943	+	199	1077	274	702
STM1273	NC_003197.2	1352168	1352814	+	647	430	333	53
STM1274	NC_003197.2	1353120	1353377	+	258	3005	1249	6129
STM1275	NC_003197.2	1353799	1354061	+	263	920	572	188
STM1276	NC_003197.2	1354125	1354441	+	317	2332	666	975
STM1277	NC_003197.2	1354427	1354786	-	360	2187	592	373
STM1278	NC_003197.2	1354893	1356094	-	1202	568	172	46
STM1279	NC_003197.2	1356166	1356972	+	807	1023	214	156
STM1280	NC_003197.2	1356952	1357398	-	447	281	74	47
STM1281	NC_003197.2	1357592	1357711	+	120	277	56	9
STM1282	NC_003197.2	1357708	1358240	-	533	719	326	138
STM1283	NC_003197.2	1358276	1359786	-	1511	2373	222	243
STM1284	NC_003197.2	1360410	1361707	-	1298	2042	1656	7539
STM1285	NC_003197.2	1361819	1363767	-	1949	1345	943	24987
STM1286	NC_003197.2	1364165	1364926	+	762	35966	9406	2056
STM1287	NC_003197.2	1365216	1366412	+	1197	466	62	137
STM1288	NC_003197.2	1366503	1367366	+	864	993	908	264
STM1289	NC_003197.2	1367465	1368361	-	897	1802	7665	447
STM1290	NC_003197.2	1368684	1369691	-	1008	205608	139658	3987
STM1291	NC_003197.2	1369983	1370434	+	452	8005	1315	3169
STM1292	NC_003197.2	1370460	1370754	+	295	21511	5950	8251
STM1293	NC_003197.2	1371106	1371774	-	669	1584	1035	148
STM1294	NC_003197.2	1371789	1372822	-	1034	1158	557	361
STM1295	NC_003197.2	1372901	1374769	-	1869	5543	3623	742
STM1296	NC_003197.2	1374917	1375482	+	566	1092	938	353
STM1297	NC_003197.2	1375588	1376643	+	1056	1295	1953	585
STM1298	NC_003197.2	1376648	1378597	+	1950	2514	2838	849
STM1299	NC_003197.2	1378627	1379985	-	1359	1677	4580	563
STM1300	NC_003197.2	1380198	1380484	+	287	1899	1207	2804
STM1301	NC_003197.2	1380444	1380860	-	417	976	339	660
STM1302	NC_003197.2	1380933	1381751	-	819	1336	2572	541
STM1303	NC_003197.2	1382176	1383411	+	1236	215	57	7902
STM1304	NC_003197.2	1383392	1384436	+	1045	333	78	4031
STM1305	NC_003197.2	1384419	1385911	+	1493	476	205	4741
STM1306	NC_003197.2	1385900	1387251	+	1352	104	86	1936
STM1307	NC_003197.2	1387231	1388212	+	982	25	11	952
STM1308	NC_003197.2	1388532	1389033	+	502	1323	1191	2756
STM1309	NC_003197.2	1389108	1390016	-	909	2207	269	280
STM1310	NC_003197.2	1390110	1390948	-	839	2233	2160	1411
STM1311	NC_003197.2	1391028	1391497	+	470	5171	6124	29424
STM1312	NC_003197.2	1391785	1392118	+	334	1766	933	760
STM1313	NC_003197.2	1392187	1393559	+	1373	480	185	1109
STM1314	NC_003197.2	1393599	1393957	+	359	342	230	177
STM1315	NC_003197.2	1393958	1394810	+	853	699	219	294
STM1316	NC_003197.2	1394923	1396290	+	1368	409	85	94
STM1317	NC_003197.2	1396293	1397061	+	769	461	119	409
STM1318	NC_003197.2	1397105	1399372	-	2268	390	1094	4050
STM1319	NC_003197.2	1399662	1399964	+	303	2013	174	125
STM1320	NC_003197.2	1400066	1401470	-	1405	5332	1255	2133
STM1321	NC_003197.2	1401594	1402193	-	600	3105	345	405
STM1322	NC_003197.2	1402331	1403013	-	683	5193	948	279
STM1323	NC_003197.2	1403137	1403684	+	548	2264	639	996
STM1324	NC_003197.2	1403727	1404602	-	876	1291	572	1223
STM1325	NC_003197.2	1404694	1404994	-	301	154	141	217
STM1326	NC_003197.2	1405081	1406025	-	945	424	1847	492
STM1327	NC_003197.2	1406287	1407060	+	774	8972	617	251
STM1328	NC_003197.2	1407109	1408075	-	967	11816	1217	330
STM1329	NC_003197.2	1408204	1408525	+	322	792	31	27
STM1330	NC_003197.2	1408515	1409376	+	862	2435	433	181
STM1331	NC_003197.2	1409545	1409755	+	211	249	3	3
STM1332	NC_003197.2	1410078	1411306	-	1229	9661	2864	588
STM1333	NC_003197.2	1412182	1414121	+	1940	81154	44988	8736
STM1334	NC_003197.2	1414213	1414667	+	455	204880	28982	6856
STM1335	NC_003197.2	1414748	1414960	+	213	178958	31693	3217
STM1336	NC_003197.2	1414998	1415367	+	370	435796	64994	5710
STM1337	NC_003197.2	1415659	1416652	+	994	3547	1112	456
STM1338	NC_003197.2	1416656	1419055	+	2400	14580	8928	2145
STM1339	NC_003197.2	1418921	1419359	+	439	19999	6748	13407
STM1340	NC_003197.2	1419553	1420542	+	990	1754	249	26
STM1341	NC_003197.2	1420622	1421185	+	564	318	363	198
STM1342	NC_003197.2	1421185	1421934	+	750	252	175	107
STM1343	NC_003197.2	1421996	1422475	+	480	2094	666	611
STM1344	NC_003197.2	1422781	1423502	+	722	1525	115	331
STM1345	NC_003197.2	1423553	1425006	+	1454	3978	3715	1746
STM1346	NC_003197.2	1425041	1425232	-	192	2435	2034	2804
STM1347	NC_003197.2	1425389	1426471	-	1083	3180	725	306
STM1348	NC_003197.2	1426591	1427437	-	847	1663	636	906
STM1349	NC_003197.2	1427610	1430139	+	2530	2210	788	2282
STM1350	NC_003197.2	1430181	1431833	-	1653	774	183	189
STM1351	NC_003197.2	1431911	1432220	-	310	26	0	0
STM1352	NC_003197.2	1432201	1433501	-	1301	397	48	30
STM1353	NC_003197.2	1433544	1434495	-	952	1342	389	32
STM1354	NC_003197.2	1434501	1435276	-	776	513	79	70
STM1355	NC_003197.2	1435719	1436618	+	900	308	50	4
STM1356	NC_003197.2	1436694	1437858	-	1165	865	261	505
STM1357	NC_003197.2	1437859	1439412	-	1554	201	95	17
STM1358	NC_003197.2	1439608	1440377	-	770	3021	1627	466
STM1359	NC_003197.2	1440411	1441289	-	879	364	21	18
STM1360	NC_003197.2	1441344	1442595	-	1252	160	28	2
STM1361	NC_003197.2	1442943	1444162	-	1220	58	2	14
STM1362	NC_003197.2	1444295	1444654	-	360	12	12	32
STM1363	NC_003197.2	1444822	1444928	-	107	235	59	62
STM1364	NC_003197.2	1445112	1446246	-	1135	3131	1036	812
STM1365	NC_003197.2	1446477	1449551	+	3075	1681	2195	777
STM1366	NC_003197.2	1449534	1449958	+	425	216	262	123
STM1367	NC_003197.2	1450009	1450245	+	237	4966	2286	770
STM1368	NC_003197.2	1450533	1451885	-	1353	1097	316	161
STM1369	NC_003197.2	1452295	1452674	+	380	265	3873	557
STM1370	NC_003197.2	1452672	1454170	+	1499	937	9991	1170
STM1371	NC_003197.2	1454176	1454933	+	758	52	8806	600
STM1372	NC_003197.2	1454895	1456179	+	1285	956	28393	1580
STM1373	NC_003197.2	1456163	1457396	+	1234	245	9621	590
STM1374	NC_003197.2	1457401	1457825	+	425	214	3785	194
STM1375	NC_003197.2	1457967	1458981	+	1015	924	4138	1527
STM1376	NC_003197.2	1459048	1459287	-	240	1239	204	171
STM1377	NC_003197.2	1459370	1459619	-	250	908475	493711	636409
STM1378	NC_003197.2	1459917	1461452	-	1536	51907	17076	4370
STM1379	NC_003197.2	1461731	1463080	-	1350	2165	188	181
STM1380	NC_003197.2	1463096	1463992	-	897	1142	119	86
STM1381	NC_003197.2	1464048	1464792	-	745	97	36	91
STM1382	NC_003197.2	1464797	1466030	-	1234	30	9	118
STM1383	NC_003197.2	1466346	1469416	-	3071	668	88	156
STM1384	NC_003197.2	1469401	1470431	-	1031	127	28	42
STM1385	NC_003197.2	1470424	1471176	-	753	17	10	0
STM1386	NC_003197.2	1471334	1473118	+	1785	391	676	529
STM1387	NC_003197.2	1473088	1473713	+	626	235	202	183
STM1388	NC_003197.2	1473792	1474023	+	232	558	298	381
STM1389	NC_003197.2	1474119	1475089	-	971	1296	2141	4259
STM1390	NC_003197.2	1475251	1475979	-	729	1818	315	179
STM1391	NC_003197.2	1476158	1476801	-	644	1190	1402	409
STM1392	NC_003197.2	1476827	1479596	-	2770	3684	1484	879
STM1393	NC_003197.2	1479990	1480391	+	402	101	27	37
STM1394	NC_003197.2	1480387	1481886	+	1500	273	248	112
STM1395	NC_003197.2	1481867	1483078	+	1212	346	70	89
STM1396	NC_003197.2	1483080	1483328	+	249	360	90	120
STM1397	NC_003197.2	1483585	1483918	+	334	341	172	774
STM1398	NC_003197.2	1483919	1484515	+	597	663	387	1079
STM1399	NC_003197.2	1484507	1484985	+	479	392	152	324
STM1400	NC_003197.2	1484980	1486442	+	1463	1067	747	1334
STM1401	NC_003197.2	1486451	1487045	+	595	159	120	273
STM1402	NC_003197.2	1487042	1487464	+	423	101	55	63
STM1403	NC_003197.2	1487516	1487950	+	435	105	71	134
STM1404	NC_003197.2	1487962	1488748	+	787	121	35	38
STM1405	NC_003197.2	1488741	1489434	+	694	272	105	55
STM1406	NC_003197.2	1489521	1489743	+	223	169	96	300
STM1407	NC_003197.2	1489778	1490011	+	234	344	69	413
STM1408	NC_003197.2	1490023	1490271	+	249	208	43	335
STM1409	NC_003197.2	1490262	1491017	+	756	1911	353	1320
STM1410	NC_003197.2	1491035	1491583	+	549	918	133	387
STM1411	NC_003197.2	1491574	1492254	+	681	567	113	321
STM1412	NC_003197.2	1492216	1493236	+	1021	1133	388	291
STM1413	NC_003197.2	1493288	1493662	+	375	137	45	85
STM1414	NC_003197.2	1493640	1495692	+	2053	1309	381	337
STM1415	NC_003197.2	1495674	1496983	+	1310	712	357	119
STM1416	NC_003197.2	1496986	1497363	+	378	277	192	78
STM1417	NC_003197.2	1497339	1497718	+	380	113	56	36
STM1418	NC_003197.2	1497692	1498667	+	976	1199	274	314
STM1419	NC_003197.2	1498732	1499382	+	651	598	160	325
STM1420	NC_003197.2	1499375	1499645	+	271	110	39	14
STM1421	NC_003197.2	1499641	1500425	+	785	239	25	20
STM1422	NC_003197.2	1500417	1501480	+	1064	1960	148	167
STM1423	NC_003197.2	1501631	1501704	-	74	4664	91	35
STM1424	NC_003197.2	1501718	1501791	-	74	457	56	221
STM1425	NC_003197.2	1501953	1503337	-	1385	5202	815	539
STM1426	NC_003197.2	1503529	1504184	+	656	6060	3109	434
STM1427	NC_003197.2	1504226	1505385	-	1160	5796	4480	2855
STM1428	NC_003197.2	1505664	1506880	-	1217	872	1396	73
STM1429	NC_003197.2	1506972	1507914	+	943	812	291	248
STM1430	NC_003197.2	1507911	1509032	-	1122	6727	747	154
STM1431	NC_003197.2	1509404	1509998	-	595	62648	1860	8025
STM1432	NC_003197.2	1510112	1510966	-	855	7319	1045	289
STM1433	NC_003197.2	1511254	1511615	+	362	32214	5793	2606
STM1434	NC_003197.2	1511693	1512340	-	648	8773	1124	250
STM1435	NC_003197.2	1512441	1512861	-	421	10511	3231	2389
STM1436	NC_003197.2	1512917	1514025	-	1109	520	2086	317
STM1437	NC_003197.2	1514073	1514672	-	600	1202	176	119
STM1438	NC_003197.2	1514764	1515014	+	251	301	72	395
STM1439	NC_003197.2	1515053	1515961	+	909	3281	1264	871
STM1440	NC_003197.2	1516033	1516562	+	530	982	703	2105
STM1441	NC_003197.2	1516538	1518583	-	2046	1604	408	375
STM1442	NC_003197.2	1518577	1519473	-	897	1861	241	83
STM1443	NC_003197.2	1519440	1519690	-	251	701	104	185
STM1444	NC_003197.2	1519865	1520311	+	447	26550	5746	3897
STM1445	NC_003197.2	1520359	1520840	-	482	21828	13076	3740
STM1446	NC_003197.2	1521087	1522219	+	1133	1131	534	585
STM1447	NC_003197.2	1522289	1522636	+	348	1520	651	745
STM1448	NC_003197.2	1522695	1523351	+	657	3525	1256	434
STM1449	NC_003197.2	1523466	1524752	+	1287	19927	5604	469
STM1450	NC_003197.2	1524801	1525672	+	872	2723	2117	166
STM1451	NC_003197.2	1525731	1526348	-	618	5925	2684	1290
STM1452	NC_003197.2	1526441	1527955	-	1515	29496	9249	1340
STM1453	NC_003197.2	1528548	1529196	-	649	2901	508	272
STM1454	NC_003197.2	1529183	1529888	-	706	1954	531	150
STM1455	NC_003197.2	1529878	1530509	-	632	1777	270	132
STM1456	NC_003197.2	1530502	1531569	-	1068	2376	534	131
STM1457	NC_003197.2	1531561	1533778	-	2218	17153	3433	177
STM1458	NC_003197.2	1533761	1534358	-	598	3395	406	25
STM1459	NC_003197.2	1534339	1534931	-	593	7024	918	71
STM1460	NC_003197.2	1534997	1535448	-	452	13868	532	161
STM1461	NC_003197.2	1535526	1535756	-	231	14950	1124	317
STM1462	NC_003197.2	1536297	1537412	+	1116	1730	1851	627
STM1463	NC_003197.2	1537487	1538488	-	1002	2189	1208	335
STM1466	NC_003197.2	1539192	1540713	-	1522	5121	3145	1426
STM1467	NC_003197.2	1540803	1541990	-	1188	1662	964	302
STM1468	NC_003197.2	1542178	1543824	+	1647	2405	2032	5251
STM1469	NC_003197.2	1543884	1545395	+	1512	468	946	2450
STM1470	NC_003197.2	1545392	1546321	-	930	1209	590	703
STM1471	NC_003197.2	1546397	1547711	-	1315	1370	346	106
STM1472	NC_003197.2	1547809	1549522	-	1714	702	56	48
STM1473	NC_003197.2	1549668	1550813	-	1146	382	202	24
STM1475	NC_003197.2	1551281	1552012	-	732	16952	1605	344
STM1476	NC_003197.2	1552133	1552474	+	342	1614	170	62
STM1477	NC_003197.2	1552536	1553928	-	1393	4710	272	153
STM1478	NC_003197.2	1554217	1555174	-	958	23454	5044	1930
STM1479	NC_003197.2	1555562	1557217	+	1656	2879	4951	641
STM1480	NC_003197.2	1557216	1558616	+	1401	2933	6306	764
STM1481	NC_003197.2	1558791	1559836	-	1046	1547	191	201
STM1482	NC_003197.2	1560230	1560605	+	376	1701	199	13
STM1483	NC_003197.2	1560579	1560921	+	343	434	44	35
STM1484	NC_003197.2	1560961	1561782	-	822	576	349	795
STM1485	NC_003197.2	1562051	1562346	-	296	7394	16925	910
STM1486	NC_003197.2	1562694	1563958	-	1265	871	195	70
STM1487	NC_003197.2	1564067	1564966	+	900	257	132	71
STM1488	NC_003197.2	1565081	1566314	+	1234	5729	3543	1216
STM1489	NC_003197.2	1566428	1567135	+	708	629	318	291
STM1490	NC_003197.2	1567091	1568380	-	1290	647	132	61
STM1491	NC_003197.2	1568516	1569670	-	1155	1122	559	855
STM1492	NC_003197.2	1569664	1570318	-	655	402	87	60
STM1493	NC_003197.2	1570321	1571230	-	910	183	112	86
STM1494	NC_003197.2	1571252	1571968	-	717	137	95	249
STM1495	NC_003197.2	1572267	1572881	-	615	3093	566	102
STM1496	NC_003197.2	1572924	1573794	-	871	682	288	98
STM1497	NC_003197.2	1573783	1574412	-	630	23	6	0
STM1498	NC_003197.2	1574411	1576846	-	2436	463	115	87
STM1499	NC_003197.2	1576945	1579395	-	2451	1186	222	515
STM1500	NC_003197.2	1579540	1579857	-	318	5246	3446	2039
STM1501	NC_003197.2	1579943	1580662	+	720	3080	971	1511
STM1502	NC_003197.2	1580703	1581274	-	572	8849	2229	666
STM1503	NC_003197.2	1581299	1581652	-	354	10476	3429	2164
STM1504	NC_003197.2	1581793	1582119	+	327	512	109	30
STM1505	NC_003197.2	1582230	1583455	+	1226	144	55	0
STM1506	NC_003197.2	1583454	1584485	+	1032	80	39	20
STM1507	NC_003197.2	1584539	1585516	+	978	146	6	48
STM1508	NC_003197.2	1586051	1587528	+	1478	1350	510	302
STM1509	NC_003197.2	1587595	1587812	-	218	1019	356	119
STM1510	NC_003197.2	1587979	1588673	-	695	3240	775	311
STM1511	NC_003197.2	1588795	1589554	-	760	5109	5043	1991
STM1512	NC_003197.2	1589668	1591722	+	2055	816	1544	317
STM1513	NC_003197.2	1592060	1592249	+	190	396	146	713
STM1514	NC_003197.2	1592369	1592911	-	543	507	60	692
STM1515	NC_003197.2	1593312	1593715	+	404	388	331	1160
STM1516	NC_003197.2	1594407	1595602	-	1196	831	279	152
STM1517	NC_003197.2	1595813	1596724	+	912	491	196	108
STM1518	NC_003197.2	1596843	1597070	-	228	1373	1547	39
STM1519	NC_003197.2	1597087	1597540	-	454	2326	9513	68
STM1520	NC_003197.2	1597490	1598122	-	633	581	303	22
STM1521	NC_003197.2	1598164	1598848	+	685	1271	492	151
STM1522	NC_003197.2	1598895	1600085	-	1191	1502	277	120
STM1523	NC_003197.2	1600201	1601082	-	882	375	192	84
STM1524	NC_003197.2	1601166	1602564	+	1399	391	372	121
STM1525	NC_003197.2	1602625	1603563	+	939	2150	242	33
STM1526	NC_003197.2	1603544	1603922	+	379	710	251	117
STM1527	NC_003197.2	1604132	1605093	+	962	11680	1519	301
STM1528	NC_003197.2	1605149	1605691	-	543	1794	267	34
STM1529	NC_003197.2	1605534	1605866	+	333	45	1	0
STM1530	NC_003197.2	1606403	1607526	+	1124	623	274	32
STM1531	NC_003197.2	1607667	1608015	-	349	279	169	63
STM1532	NC_003197.2	1608021	1608914	-	894	196	173	32
STM1533	NC_003197.2	1608896	1609963	-	1068	285	278	80
STM1534	NC_003197.2	1609975	1610392	-	418	126	77	17
STM1535	NC_003197.2	1610382	1610685	-	304	102	49	12
STM1536	NC_003197.2	1610681	1611296	-	616	401	210	102
STM1537	NC_003197.2	1611295	1612042	-	748	449	180	62
STM1538	NC_003197.2	1611989	1613797	-	1809	318	207	53
STM1539	NC_003197.2	1613794	1614902	-	1109	395	211	90
STM1540	NC_003197.2	1615319	1616417	+	1099	2027	1545	210
STM1541	NC_003197.2	1616457	1617254	+	798	6805	2833	2878
STM1542	NC_003197.2	1617313	1618344	-	1032	966	350	247
STM1543	NC_003197.2	1618313	1619606	-	1294	163	153	66
STM1544	NC_003197.2	1619776	1621332	-	1557	494	434	132
STM1545	NC_003197.2	1621402	1622648	-	1247	325	72	54
STM1546	NC_003197.2	1622633	1624152	-	1520	384	137	98
STM1547	NC_003197.2	1624178	1624674	+	497	1412	396	252
STM1548	NC_003197.2	1624906	1625946	+	1041	1169	1255	75
STM1549	NC_003197.2	1625998	1626399	-	402	3638	724	174
STM1550	NC_003197.2	1626558	1626848	-	291	2523	528	915
STM1551	NC_003197.2	1626832	1627088	-	257	798	337	465
STM1552	NC_003197.2	1627912	1628820	+	909	1043	345	182
STM1554	NC_003197.2	1630398	1631871	-	1474	4870	4392	887
STM1555	NC_003197.2	1632123	1633130	+	1008	972	92	84
STM1556	NC_003197.2	1633267	1634725	+	1459	708	205	277
STM1557	NC_003197.2	1634727	1635940	+	1214	398	258	136
STM1558	NC_003197.2	1636053	1638135	-	2083	1212	741	422
STM1559	NC_003197.2	1638185	1640719	-	2535	374	329	487
STM1560	NC_003197.2	1640710	1642500	-	1791	388	109	123
STM1561	NC_003197.2	1642623	1643414	-	792	110	69	130
STM1562	NC_003197.2	1643551	1643894	-	344	1024	444	234
STM1563	NC_003197.2	1644230	1644674	-	445	1187	849	3052
STM1564	NC_003197.2	1645161	1645389	+	229	566	148	936
STM1565	NC_003197.2	1645473	1645627	+	155	3183	3500	6988
STM1566	NC_003197.2	1645804	1647501	+	1698	2938	3775	592
STM1567	NC_003197.2	1647775	1648797	+	1023	1162	1412	996
STM1568	NC_003197.2	1648888	1649557	-	670	3738	1085	654
STM1569	NC_003197.2	1649537	1650432	-	896	430	295	44
STM1570	NC_003197.2	1650435	1653489	-	3055	2490	1408	263
STM1571	NC_003197.2	1653807	1654641	+	835	436	72	55
STM1572	NC_003197.2	1655153	1656254	+	1102	497771	422480	36955
STM1573	NC_003197.2	1656398	1656778	+	381	2052	274	28
STM1574	NC_003197.2	1656803	1658295	-	1493	1289	1378	212
STM1575	NC_003197.2	1658402	1658986	+	585	1803	666	145
STM1576	NC_003197.2	1659191	1660589	+	1399	321	51	180
STM1577	NC_003197.2	1660668	1664421	+	3754	730	129	438
STM1578	NC_003197.2	1664404	1665962	+	1559	170	76	107
STM1579	NC_003197.2	1665951	1666657	+	707	48	36	26
STM1580	NC_003197.2	1666644	1667334	+	691	241	117	146
STM1581	NC_003197.2	1667427	1668333	+	907	692	452	203
STM1582	NC_003197.2	1668369	1669227	-	859	1467	584	132
STM1583	NC_003197.2	1669498	1670137	-	640	14989	21147	4735
STM1584	NC_003197.2	1670632	1672136	+	1505	4707	1487	124
STM1585	NC_003197.2	1672213	1672441	-	229	393	98	53
STM1586	NC_003197.2	1672579	1673652	-	1074	10740	27277	2242
STM1587	NC_003197.2	1673893	1676024	+	2132	1138	329	165
STM1588	NC_003197.2	1676091	1676773	-	683	1247	55	249
STM1589	NC_003197.2	1677090	1678160	-	1071	1336	915	791
STM1590	NC_003197.2	1678327	1678854	+	528	716	390	354
